FC:C3:AF:BD:83:9A -> {x : 0.081, y : 0.708, z : 0.621}
FC:C3:AF:BD:83:9A -> {x : 0.071, y : 0.707, z : 0.624}
FC:C3:AF:BD:83:9A -> {x : 0.066, y : 0.708, z : 0.629}
FC:C3:AF:BD:83:9A -> {x : 0.060, y : 0.713, z : 0.641}
FC:C3:AF:BD:83:9A -> {x : 0.055, y : 0.720, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.047, y : 0.733, z : 0.660}
FC:C3:AF:BD:83:9A -> {x : 0.038, y : 0.744, z : 0.665}
FC:C3:AF:BD:83:9A -> {x : 0.033, y : 0.747, z : 0.669}
FC:C3:AF:BD:83:9A -> {x : 0.031, y : 0.746, z : 0.667}
FC:C3:AF:BD:83:9A -> {x : 0.034, y : 0.744, z : 0.671}
FC:C3:AF:BD:83:9A -> {x : 0.040, y : 0.742, z : 0.678}
FC:C3:AF:BD:83:9A -> {x : 0.044, y : 0.743, z : 0.676}
FC:C3:AF:BD:83:9A -> {x : 0.051, y : 0.740, z : 0.667}
FC:C3:AF:BD:83:9A -> {x : 0.062, y : 0.737, z : 0.661}
FC:C3:AF:BD:83:9A -> {x : 0.073, y : 0.738, z : 0.652}
FC:C3:AF:BD:83:9A -> {x : 0.083, y : 0.733, z : 0.642}
FC:C3:AF:BD:83:9A -> {x : 0.089, y : 0.729, z : 0.638}
FC:C3:AF:BD:83:9A -> {x : 0.086, y : 0.733, z : 0.634}
FC:C3:AF:BD:83:9A -> {x : 0.078, y : 0.734, z : 0.632}
FC:C3:AF:BD:83:9A -> {x : 0.070, y : 0.738, z : 0.634}
FC:C3:AF:BD:83:9A -> {x : 0.064, y : 0.738, z : 0.637}
FC:C3:AF:BD:83:9A -> {x : 0.058, y : 0.737, z : 0.642}
FC:C3:AF:BD:83:9A -> {x : 0.047, y : 0.734, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.019, y : 0.723, z : 0.642}
FC:C3:AF:BD:83:9A -> {x : 0.004, y : 0.726, z : 0.661}
FC:C3:AF:BD:83:9A -> {x : -0.011, y : 0.737, z : 0.652}
FC:C3:AF:BD:83:9A -> {x : -0.006, y : 0.723, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.007, y : 0.710, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.032, y : 0.705, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.062, y : 0.714, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.074, y : 0.733, z : 0.651}
